Bad_Practices,Good_Practices
<table alt=header>Title</table>,<table alt='header'>Title</table>
<tr>Content,<tr>Content</tr>
<h2 src='description'>Content,<h2 src='description'>Content</h2>
<table>Link,<table>Link</table>
<img src='description'>,<img src='description' alt=''>
<span href=width:100px>Text</span>,<span href='width:100px'>Text</span>
<table style=link.html>Data</table>,<table style='link.html'>Data</table>
<img src='width:100px'>,<img src='width:100px' alt=''>
<p alt='image.jpg'>Link,<p alt='image.jpg'>Link</p>
<span><table>Link</span></table>,<table><span>Link</span></table>
<span href='header'>Hello,<span href='header'>Hello</span>
<table><h3>Content</table></h3>,<h3><table>Content</table></h3>
<td>Title,<td>Title</td>
<span style='image.jpg'>Title,<span style='image.jpg'>Title</span>
<tr style=container>Text</tr>,<tr style='container'>Text</tr>
<h3>Hello,<h3>Hello</h3>
<img src='link.html'>,<img src='link.html' alt=''>
<a class=link.html>Link</a>,<a class='link.html'>Link</a>
<td href=container>Text</td>,<td href='container'>Text</td>
<p style=link.html>Content</p>,<p style='link.html'>Content</p>
<a href='image.jpg'>Data,<a href='image.jpg'>Data</a>
<p>Title,<p>Title</p>
<div>Link,<div>Link</div>
<h2><a>Title</h2></a>,<a><h2>Title</h2></a>
<h2>Content,<h2>Content</h2>
<span><table>Title</span></table>,<table><span>Title</span></table>
<img src='image.jpg'>,<img src='image.jpg' alt=''>
<div class=width:100px>Link</div>,<div class='width:100px'>Link</div>
<tr><ul>Link</tr></ul>,<ul><tr>Link</tr></ul>
<table id='container'>Data,<table id='container'>Data</table>
<div>Text,<div>Text</div>
<div alt=description>List Item</div>,<div alt='description'>List Item</div>
<h3 alt=width:100px>Hello</h3>,<h3 alt='width:100px'>Hello</h3>
<div class=width:100px>Hello</div>,<div class='width:100px'>Hello</div>
<div alt=width:100px>Title</div>,<div alt='width:100px'>Title</div>
<tr src='header'>Content,<tr src='header'>Content</tr>
<a>Data,<a>Data</a>
<h2 class=link.html>Text</h2>,<h2 class='link.html'>Text</h2>
<table><td>Content</table></td>,<td><table>Content</table></td>
<li id='link.html'>Hello,<li id='link.html'>Hello</li>
<a style='width:100px'>Title,<a style='width:100px'>Title</a>
<ul>Hello,<ul>Hello</ul>
<table style='description'>List Item,<table style='description'>List Item</table>
<ul class=width:100px>Text</ul>,<ul class='width:100px'>Text</ul>
<img src='container'>,<img src='container' alt=''>
<h3>Data,<h3>Data</h3>
<table><p>List Item</table></p>,<p><table>List Item</table></p>
<span src=image.jpg>Title</span>,<span src='image.jpg'>Title</span>
<div src=container>Text</div>,<div src='container'>Text</div>
<li><table>Title</li></table>,<table><li>Title</li></table>
<p alt=description>List Item</p>,<p alt='description'>List Item</p>
<a id='description'>Title,<a id='description'>Title</a>
<li class='image.jpg'>Text,<li class='image.jpg'>Text</li>
<ul><h3>Content</ul></h3>,<h3><ul>Content</ul></h3>
<ul style=width:100px>Data</ul>,<ul style='width:100px'>Data</ul>
<h3 alt=container>Data</h3>,<h3 alt='container'>Data</h3>
<table>Content,<table>Content</table>
<h2><a>Hello</h2></a>,<a><h2>Hello</h2></a>
<td><p>Content</td></p>,<p><td>Content</td></p>
<p style=width:100px>Link</p>,<p style='width:100px'>Link</p>
<div id='container'>Hello,<div id='container'>Hello</div>
<p><div>Text</p></div>,<div><p>Text</p></div>
<li>Link,<li>Link</li>
<img src='header'>,<img src='header' alt=''>
<tr><td>Title</tr></td>,<td><tr>Title</tr></td>
<ul>Text,<ul>Text</ul>
<span>Title,<span>Title</span>
